iter	Passed	Remaining
0	1	151
1	2	135
2	3	126
3	4	116
4	6	114
5	7	112
6	8	110
7	9	109
8	10	110
9	12	109
10	13	108
11	14	106
12	15	104
13	16	103
14	17	101
15	19	100
16	20	98
17	21	97
18	22	95
19	23	94
20	24	93
21	26	93
22	27	91
23	28	90
24	29	89
25	30	87
26	31	86
27	33	85
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	40	78
34	41	76
35	42	75
36	43	74
37	44	73
38	45	71
39	47	70
40	48	69
41	48	67
42	49	66
43	50	64
44	51	63
45	53	62
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	78	38
67	79	37
68	80	36
69	81	34
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	116	1
99	117	0
